# Run=pixel_011 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=213.162
# Q_null_deg=50.360
# A_null_deg=168.162
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_SPACING=5 V uniform
# DC_HYST_UNIFORM_STEP=5.0
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# AC_dither_Vpp=9.0
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp
27,1197.484,up,-15.0000,1.942138e-04,4.308866e-05,46.7374,5.000000e-05,1.118570e-07,0.1322,4,1,2.953053e-05,3.137803e-05,-4.142130e-05,-15.0000,0,9.0000
28,1239.943,up,-10.0000,1.942003e-04,3.351369e-05,47.5681,5.000000e-05,2.313479e-07,0.1302,4,1,2.261215e-05,2.473576e-05,-2.817150e-05,-10.0000,0,9.0000
29,1282.401,up,-5.0000,1.944584e-04,1.959834e-05,47.5682,5.000000e-05,7.832227e-08,0.4296,4,1,1.322324e-05,1.446516e-05,-6.509800e-05,-5.0000,0,9.0000
30,1324.874,up,0.0000,1.940309e-04,1.308862e-05,49.3290,5.000000e-05,1.137699e-07,0.2949,4,1,8.530046e-06,9.927251e-06,1.937310e-05,0.0000,0,9.0000
31,1367.372,up,5.0000,1.936566e-04,3.191972e-06,52.1918,5.000000e-05,1.475266e-07,1.1919,4,1,1.956742e-06,2.521873e-06,1.352190e-04,5.0000,0,9.0000
32,1409.835,up,10.0000,1.935295e-04,1.132102e-05,-135.1206,5.000000e-05,2.315436e-07,0.4209,4,1,-8.021998e-06,-7.988312e-06,2.169940e-06,10.0000,0,9.0000
33,1452.308,up,15.0000,1.942125e-04,2.405870e-05,-135.1244,5.000000e-05,1.570830e-07,0.1391,4,1,-1.704897e-05,-1.697508e-05,4.199020e-05,15.0000,0,9.0000
34,1497.133,up,20.0000,1.920858e-04,3.599871e-05,-135.4798,5.000000e-05,1.615327e-07,0.0955,4,1,-2.566720e-05,-2.524089e-05,2.525050e-05,20.0000,0,9.0000
35,1539.603,up,25.0000,1.942748e-04,4.633121e-05,-135.9829,5.000000e-05,3.175264e-07,0.0818,4,1,-3.331827e-05,-3.219432e-05,4.164680e-05,25.0000,0,9.0000
36,1584.446,up,30.0000,1.912987e-04,5.488622e-05,-136.5824,5.000000e-05,1.334851e-07,0.0656,4,1,-3.986735e-05,-3.772389e-05,5.984420e-05,30.0000,0,9.0000
37,1626.914,up,35.0000,1.936771e-04,6.143750e-05,-137.2250,5.000000e-05,5.545521e-08,0.0208,4,1,-4.509673e-05,-4.172350e-05,6.016390e-05,35.0000,0,9.0000
38,1671.717,up,40.0000,1.932984e-04,6.689999e-05,-137.9075,5.000000e-05,1.813910e-07,0.0359,4,1,-4.964405e-05,-4.484503e-05,7.881080e-05,40.0000,0,9.0000
39,1716.527,up,45.0000,1.904141e-04,7.105734e-05,-138.5051,5.000000e-05,1.421369e-07,0.1398,4,1,-5.322303e-05,-4.707924e-05,1.077840e-04,45.0000,0,9.0000
40,1761.334,up,50.0000,1.911601e-04,7.389498e-05,-139.0975,5.000000e-05,1.268248e-07,0.0457,4,1,-5.585170e-05,-4.838446e-05,1.278260e-04,50.0000,0,9.0000
