# Run=pixel_021 DC hysteresis follow-up
# theta_i_HWP_deg=19.145
# V_AC_Vpp=9.0
# ANL_peak_deg=140.953
# Q_null_deg=70.136
# A_null_deg=5.953
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_SPACING=5 V uniform
# DC_HYST_UNIFORM_STEP=5.0
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# AC_dither_Vpp=9.0
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp
26,1147.867,up,-20.0000,2.111111e-04,2.595239e-05,-109.2568,5.000000e-05,1.310229e-07,0.1954,4,1,-8.559182e-06,-2.450034e-05,-3.681220e-05,-20.0000,0,9.0000
27,1190.347,up,-15.0000,2.108768e-04,2.153854e-05,-108.5038,5.000000e-05,1.444119e-07,0.2889,4,1,-6.835630e-06,-2.042506e-05,-2.112720e-05,-15.0000,0,9.0000
28,1232.830,up,-10.0000,2.109250e-04,1.670083e-05,-106.1150,5.000000e-05,1.206305e-07,0.4669,4,1,-4.635576e-06,-1.604460e-05,-3.181840e-06,-10.0000,0,9.0000
29,1275.312,up,-5.0000,2.106444e-04,1.039283e-05,-106.1282,5.000000e-05,9.203277e-08,0.8798,4,1,-2.886993e-06,-9.983799e-06,-1.121910e-04,-5.0000,0,9.0000
30,1317.795,up,0.0000,2.113711e-04,4.827428e-06,-99.5608,5.000000e-05,2.013360e-07,0.3666,4,1,-8.018110e-07,-4.760374e-06,4.654070e-05,0.0000,0,9.0000
31,1360.269,up,5.0000,2.106483e-04,1.635878e-06,51.1304,5.000000e-05,9.497801e-08,4.6290,4,1,1.026595e-06,1.273656e-06,-2.233620e-04,5.0000,0,9.0000
32,1402.723,up,10.0000,2.112922e-04,4.365220e-06,71.2746,5.000000e-05,8.735449e-08,2.1432,4,1,1.401380e-06,4.134160e-06,2.361910e-05,10.0000,0,9.0000
33,1445.192,up,15.0000,2.102811e-04,7.937384e-06,69.3799,5.000000e-05,8.438788e-08,0.3575,4,1,2.795309e-06,7.428883e-06,-1.814010e-05,15.0000,0,9.0000
34,1487.662,up,20.0000,2.111894e-04,1.229333e-05,69.6232,5.000000e-05,1.444329e-07,0.5476,4,1,4.280443e-06,1.152405e-05,2.474130e-05,20.0000,0,9.0000
35,1530.144,up,25.0000,2.101322e-04,1.682212e-05,69.5946,5.000000e-05,3.844591e-08,0.4478,4,1,5.865208e-06,1.576651e-05,1.247810e-05,25.0000,0,9.0000
36,1572.619,up,30.0000,2.108723e-04,2.122990e-05,69.3559,5.000000e-05,1.474342e-07,0.2048,4,1,7.484865e-06,1.986669e-05,1.010660e-05,30.0000,0,9.0000
37,1615.106,up,35.0000,2.113852e-04,2.538619e-05,69.5124,5.000000e-05,7.044419e-08,0.1457,4,1,8.885285e-06,2.378046e-05,-4.478450e-06,35.0000,0,9.0000
38,1657.597,up,40.0000,2.114584e-04,2.857617e-05,69.2130,5.000000e-05,1.206849e-07,0.1609,4,1,1.014155e-05,2.671603e-05,-5.226430e-06,40.0000,0,9.0000
39,1700.074,up,45.0000,2.114295e-04,3.149347e-05,68.6549,5.000000e-05,1.956826e-08,0.2811,4,1,1.146312e-05,2.933318e-05,9.402400e-06,45.0000,0,9.0000
40,1742.548,up,50.0000,2.111573e-04,3.377366e-05,68.4626,5.000000e-05,1.453387e-07,0.1486,4,1,1.239858e-05,3.141553e-05,9.591650e-06,50.0000,0,9.0000
