# Run=pixel_032 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=303.360
# Q_null_deg=48.771
# A_null_deg=168.360
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_SPACING=5 V uniform
# DC_HYST_UNIFORM_STEP=5.0
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=5.0
# Lock_in_avg_readings=5
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=15
# AC_dither_Vpp=9.0
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp
27,1315.292,up,-15.0000,1.635433e-04,1.954397e-05,10.9738,1.000000e-04,4.825459e-08,0.1154,5,1,1.918659e-05,3.720393e-06,-3.690340e-05,-15.0000,0,9.0000
28,1362.275,up,-10.0000,1.671895e-04,1.379588e-05,10.8181,1.000000e-04,2.032688e-07,0.2697,5,1,1.355070e-05,2.589376e-06,-2.905020e-06,-10.0000,0,9.0000
29,1409.285,up,-5.0000,1.674058e-04,1.041795e-05,16.8238,1.000000e-04,4.146311e-08,0.2066,5,1,9.972051e-06,3.015259e-06,-6.152140e-05,-5.0000,0,9.0000
30,1456.287,up,0.0000,1.673126e-04,4.582654e-06,17.2580,1.000000e-04,6.830472e-08,1.5458,5,1,4.376337e-06,1.359556e-06,1.799660e-06,0.0000,0,9.0000
31,1503.265,up,5.0000,1.671608e-04,4.697291e-07,45.3361,1.000000e-04,9.017422e-08,9.7671,5,1,3.301946e-07,3.340912e-07,-1.572130e-04,5.0000,0,9.0000
32,1550.280,up,10.0000,1.660492e-04,4.473839e-06,-168.3486,1.000000e-04,6.396281e-08,0.5420,5,1,-4.381653e-06,-9.035236e-07,1.286980e-05,10.0000,0,9.0000
33,1597.266,up,15.0000,1.664659e-04,9.329615e-06,-170.5313,1.000000e-04,8.478070e-08,0.5838,5,1,-9.202505e-06,-1.534803e-06,2.185640e-05,15.0000,0,9.0000
34,1644.271,up,20.0000,1.662685e-04,1.427581e-05,-171.5211,1.000000e-04,1.352055e-07,0.3337,5,1,-1.411977e-05,-2.104901e-06,2.024780e-05,20.0000,0,9.0000
35,1691.249,up,25.0000,1.664405e-04,1.904180e-05,-171.9897,1.000000e-04,6.870346e-08,0.2928,5,1,-1.885601e-05,-2.653492e-06,4.135900e-05,25.0000,0,9.0000
36,1738.227,up,30.0000,1.667209e-04,2.379798e-05,-172.2321,1.000000e-04,1.678434e-07,0.0806,5,1,-2.357960e-05,-3.216564e-06,3.808950e-06,30.0000,0,9.0000
37,1785.230,up,35.0000,1.674884e-04,2.852780e-05,-172.4975,1.000000e-04,2.024444e-07,0.2390,5,1,-2.828358e-05,-3.724876e-06,2.119720e-05,35.0000,0,9.0000
38,1832.219,up,40.0000,1.674782e-04,3.303392e-05,-173.0201,1.000000e-04,1.853004e-07,0.1404,5,1,-3.278910e-05,-4.014325e-06,2.476440e-05,40.0000,0,9.0000
39,1879.194,up,45.0000,1.674746e-04,3.743197e-05,-173.3658,1.000000e-04,2.401554e-07,0.0749,5,1,-3.718133e-05,-4.324547e-06,3.289510e-05,45.0000,0,9.0000
40,1926.175,up,50.0000,1.675603e-04,3.943983e-05,-174.0454,1.000000e-04,2.407871e-07,0.1908,5,1,-3.922703e-05,-4.091472e-06,4.685570e-05,50.0000,0,9.0000
