# Run=pixel_094 DC hysteresis follow-up
# theta_i_HWP_deg=41.645
# V_AC_Vpp=9.0
# ANL_peak_deg=95.761
# Q_null_deg=111.486
# A_null_deg=50.759
# EO_lockin_reference_phase_deg=-29.4666912952
# Rotation_reference_phase_deg=-35.3143953111
# DC_fringe_null_power_W=3.19560902256e-06
# DC_fringe_quadrature_power_W=0.000138793948872
# DC_fringe_bright_power_W=0.000274392288722
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[50, 40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-50.0,-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0,50.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# Lock_in_range_mode=predictive_hysteretic
# Lock_in_dynamic_range_indices=[11,12,13,14,15,16]
# Lock_in_dynamic_fullscales_uV=[5.0,10.0,20.0,50.0,100.0,200.0]
# Lock_in_dynamic_target_fraction=0.6
# Lock_in_dynamic_rescue_fraction=0.85
# Lock_in_range_changes=1
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
10,482.964,down,2.5000,1.373509e-04,1.749468e-07,153.4629,5.000000e-06,7.940151e-08,10.2314,4,1,-1.565153e-07,7.816231e-08,1.496890e-05,2.5000,0,4.0000,13.3340,2.5000,2.5000,11,predictive_hysteretic,2.113250e-07,1.081884e-07,6.440787e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
11,526.832,down,1.2500,1.371881e-04,1.472592e-07,157.9867,5.000000e-06,1.267558e-07,18.2486,4,1,-1.365236e-07,5.519589e-08,4.883770e-06,1.2500,0,4.0000,13.3787,1.2500,1.2500,11,predictive_hysteretic,1.662733e-07,1.081884e-07,5.990270e-07,11,predictive_hold,0,0,1.205403e-07,0,0,33,33,0,0,0
12,570.650,down,0.0000,1.367384e-04,1.937208e-07,123.7950,5.000000e-06,1.016774e-07,23.5515,4,1,-1.077521e-07,1.609883e-07,-3.375780e-08,0.0000,0,4.0000,13.3349,0.0000,0.0000,11,predictive_hysteretic,1.195716e-07,1.205403e-07,6.017328e-07,11,predictive_hold,0,0,1.153661e-07,0,0,33,33,0,0,0
13,614.483,down,-1.2500,1.366694e-04,2.971419e-07,124.3231,5.000000e-06,6.339539e-08,20.3823,4,1,-1.675460e-07,2.454010e-07,-2.096720e-06,-1.2500,0,4.0000,13.3352,-1.2500,-1.2500,11,predictive_hysteretic,2.401824e-07,1.205403e-07,7.223435e-07,11,predictive_hold,0,0,1.103980e-07,0,0,33,33,0,0,0
14,658.305,down,-2.5000,1.368404e-04,1.433034e-07,130.0045,5.000000e-06,6.700910e-08,27.6430,4,1,-9.212226e-08,1.097696e-07,-3.178870e-06,-2.5000,0,4.0000,13.3354,-2.5000,-2.5000,11,predictive_hysteretic,4.005630e-07,1.205403e-07,8.827242e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
15,702.105,down,-5.0000,1.371102e-04,1.334230e-07,146.0133,5.000000e-06,9.774614e-08,12.7997,4,1,-1.106301e-07,7.458349e-08,-5.170150e-06,-5.0000,0,4.0000,13.3147,-5.0000,-5.0000,11,predictive_hysteretic,0.000000e+00,1.205403e-07,4.821612e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
16,745.932,down,-7.5000,1.371829e-04,1.466120e-07,135.6284,5.000000e-06,8.446913e-08,30.5456,4,1,-1.048010e-07,1.025272e-07,-7.009680e-06,-7.5000,0,4.0000,13.3292,-7.5000,-7.5000,11,predictive_hysteretic,1.235427e-07,1.153661e-07,5.850072e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
17,789.755,down,-10.0000,1.380064e-04,1.966158e-07,70.9863,5.000000e-06,3.312256e-08,20.4234,4,1,6.405614e-08,1.858886e-07,-9.040580e-06,-10.0000,0,4.0000,13.3386,-10.0000,-10.0000,11,predictive_hysteretic,1.598009e-07,1.103980e-07,6.013929e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
18,833.597,down,-12.5000,1.373118e-04,7.625482e-07,-17.7964,5.000000e-06,8.350956e-08,6.3475,4,1,7.260593e-07,-2.330614e-07,-1.136170e-05,-12.5000,0,4.0000,13.3583,-12.5000,-12.5000,11,predictive_hysteretic,2.466195e-07,1.000000e-07,6.466195e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
19,877.433,down,-15.0000,1.378780e-04,8.061080e-07,-22.0349,5.000000e-06,1.198159e-07,2.9948,4,1,7.472260e-07,-3.024292e-07,-1.489620e-05,-15.0000,0,4.0000,13.3407,-15.0000,-15.0000,11,predictive_hysteretic,1.328481e-06,1.000000e-07,1.728481e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
