# Run=pixel_081 DC hysteresis follow-up
# theta_i_HWP_deg=345.395
# V_AC_Vpp=9.0
# ANL_peak_deg=174.475
# Q_null_deg=6.276
# A_null_deg=129.466
# EO_lockin_reference_phase_deg=121.071020572
# Rotation_reference_phase_deg=122.540348362
# DC_fringe_null_power_W=3.46367518797e-06
# DC_fringe_quadrature_power_W=0.000144403524812
# DC_fringe_bright_power_W=0.000285343374436
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[50, 40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-50.0,-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0,50.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# Lock_in_range_mode=predictive_hysteretic
# Lock_in_dynamic_range_indices=[11,12,13,14,15,16]
# Lock_in_dynamic_fullscales_uV=[5.0,10.0,20.0,50.0,100.0,200.0]
# Lock_in_dynamic_target_fraction=0.6
# Lock_in_dynamic_rescue_fraction=0.85
# Lock_in_range_changes=13
# Lock_in_range_rescue_rereads=1
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
10,493.234,down,2.5000,1.460284e-04,3.909922e-06,150.4527,1.000000e-05,4.803301e-08,1.3579,4,1,-3.401434e-06,1.928144e-06,1.707760e-05,2.5000,0,4.0000,23.8175,2.5000,2.5000,12,predictive_hysteretic,8.256074e-07,1.382472e-07,1.378596e-06,11,predictive_hold+emergency_widen,1,1,1.000000e-07,0,0,33,33,0,0,0
11,537.053,down,1.2500,1.461291e-04,3.880439e-06,152.7234,1.000000e-05,4.343924e-08,1.3568,4,1,-3.448951e-06,1.778354e-06,4.837120e-06,1.2500,0,4.0000,13.3299,1.2500,1.2500,12,predictive_hysteretic,5.329986e-06,1.183724e-07,5.803475e-06,12,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
12,580.883,down,0.0000,1.461394e-04,4.521358e-06,149.5120,1.000000e-05,3.445908e-08,0.8706,4,1,-3.896213e-06,2.293950e-06,-2.772360e-08,0.0000,0,4.0000,13.3456,0.0000,0.0000,12,predictive_hysteretic,3.850956e-06,1.183724e-07,4.324445e-06,12,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
13,624.707,down,-1.2500,1.460777e-04,2.978912e-06,155.9553,1.000000e-05,8.918068e-08,2.3209,4,1,-2.720426e-06,1.213755e-06,-1.926040e-06,-1.2500,0,4.0000,13.3274,-1.2500,-1.2500,12,predictive_hysteretic,5.162277e-06,1.000000e-07,5.562277e-06,12,predictive_hold,0,0,1.065833e-07,0,0,33,33,0,0,0
14,668.497,down,-2.5000,1.460307e-04,1.051796e-06,160.2917,1.000000e-05,7.525360e-08,3.6979,4,1,-9.901830e-07,3.546993e-07,-4.458830e-06,-2.5000,0,4.0000,13.3013,-2.5000,-2.5000,12,predictive_hysteretic,1.436467e-06,1.065833e-07,1.862800e-06,11,narrow_pending_hysteresis,0,0,1.000000e-07,0,0,33,33,0,0,0
15,712.316,down,-5.0000,1.452273e-04,1.978780e-07,-49.9191,5.000000e-06,7.501377e-08,11.8486,4,1,1.274074e-07,-1.514037e-07,-9.350330e-06,-5.0000,0,4.0000,13.3217,-5.0000,-5.0000,11,predictive_hysteretic,0.000000e+00,1.065833e-07,4.263330e-07,11,confirmed_one_step_narrow,1,0,1.000000e-07,0,0,33,33,0,0,0
16,756.173,down,-7.5000,1.456225e-04,5.621173e-07,-52.3426,5.000000e-06,6.658879e-08,15.5563,4,1,3.434191e-07,-4.450160e-07,-1.628970e-05,-7.5000,0,4.0000,13.3729,-7.5000,-7.5000,11,predictive_hysteretic,0.000000e+00,1.065833e-07,4.263330e-07,11,predictive_hold,0,0,1.230224e-07,0,0,33,33,0,0,0
17,799.995,down,-10.0000,1.461560e-04,1.144042e-06,-49.6962,5.000000e-06,3.953007e-08,2.5391,4,1,7.400125e-07,-8.724757e-07,-2.628990e-05,-10.0000,0,4.0000,13.3360,-10.0000,-10.0000,11,predictive_hysteretic,9.263566e-07,1.230224e-07,1.418446e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
18,843.822,down,-12.5000,1.460931e-04,1.617509e-06,-48.1866,5.000000e-06,1.316270e-07,1.7828,4,1,1.078405e-06,-1.205561e-06,-3.762970e-05,-12.5000,0,4.0000,13.3312,-12.5000,-12.5000,11,predictive_hysteretic,1.725967e-06,1.230224e-07,2.218057e-06,11,predictive_hold,0,0,1.161494e-07,0,0,33,33,0,0,0
19,887.680,down,-15.0000,1.460939e-04,2.315168e-06,-46.6752,5.000000e-06,1.562370e-07,2.5781,4,1,1.588513e-06,-1.684229e-06,-4.811500e-05,-15.0000,0,4.0000,13.3706,-15.0000,-15.0000,11,predictive_hysteretic,2.090976e-06,1.230224e-07,2.583066e-06,11,predictive_hold,0,0,1.595091e-07,0,0,33,33,0,0,0
